0,5338376,41.75646845,3.707803634,536.6499175
1,327058,171.6208134,3.878413706,761.4445144
2,279978,251.5121795,3.851132196,816.692208
3,193766,301.0434906,3.821574786,863.2260097
4,135946,437.6176497,3.792993468,908.5632898
5,115937,506.4494079,3.770189241,952.8688598
6,112149,796.5037495,3.757885759,1023.267171
7,68239,705.6243057,3.785366872,918.922156
8,62607,1202.228601,3.768117463,966.8385963
9,30944,1733.634146,3.693021911,935.2119635
10,12303,1159.481996,3.723240673,972.8597903
11,5729,1605.565195,3.8374952,983.9069646
12,2868,1866.625872,3.708650628,1086.992678
